id,data_source,product_name,substance_name,INN,manufacturer,route,physical_form,physical_form_binary,API_concentration_mg_ml,API_concentration_mg_ml_min,API_concentration_mg_ml_max,API_concentration_mg_ml_op,API_concentration_mg_ml_mentioned,F_percent,F_percent_min,F_percent_max,F_percent_op,F_percent_mentioned,CL_L_per_day,CL_L_per_day_min,CL_L_per_day_max,CL_L_per_day_op,CL_L_per_day_mentioned,CL_L_per_day_per_kg,CL_kind,Vd_L,Vd_L_min,Vd_L_max,Vd_L_op,Vd_L_mentioned,Vd_L_per_kg,Vd_kind,TMDD_mentioned,TMDD_keywords_found,ex_ps80,ex_his,ex_sucr,ex_ps20,ex_nacl,ex_acet,ex_treh,ex_citr,ex_phos,ex_arg,ex_edta,ex_met,ex_sorb,ex_mann,ex_gly,is_biosimilar,extraction_date,created_at,strength_total_mg,strength_total_volume_ml,strength_label,strength_source,inn_norm
130,FDA,DANYELZA,naxitamab-gqgk,,"Y-mAbs Therapeutics, Inc",IV,solution,0.0,4.0,,,=,1.0,,,,,0.0,,,,,1.0,,,,,,,0.0,,,0.0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026-04-13 17:22:39,2026-04-14 09:17:07,,,,,naxitamab
131,FDA,PORTRAZZA,necitumumab,necitumumab,"Lilly USA, LLC",IV,concentrate,2.0,16.0,,,=,1.0,,,,,0.0,0.3384,,,=,1.0,,CL,7.0,,,=,1.0,,Vss,1.0,dose-dependent kinetics,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2026-04-13 17:23:22,2026-04-14 09:17:07,,,,,necitumumab
132,FDA,NEMLUVIO,nemolizumab-ilto,,"Galderma Laboratories, L.P.",SC,lyophilized powder,1.0,61.224489795918366,,,=,1.0,,,,,1.0,0.263,,,=,1.0,,CL,7.67,,,=,1.0,,Vd,0.0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-13 17:24:00,2026-04-14 09:17:07,,,,,nemolizumab
133,FDA,IMAAVY,nipocalimab-aahu,,"Janssen Biotech, Inc.",IV,concentrate,2.0,185.0,,,=,1.0,,,,,0.0,1.5048,,,=,1.0,,CL,2.67,,,=,1.0,,Vd,1.0,"nonlinear pharmacokinetics, concentration-dependent pharmacokinetics",1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2026-04-13 17:24:46,2026-04-14 09:17:07,,,,,nipocalimab
134,FDA,BEYFORTUS,nirsevimab-alip,,AstraZeneca AB,SC,solution,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-13 17:25:39,2026-04-14 09:17:07,,,,,nirsevimab
135,FDA,OPDIVO QVANTIG,nivolumab and hyaluronidase-nvhy,,Bristol-Myers Squibb,SC,solution,0.0,120.0,,,=,1.0,74.0,,,=,1.0,0.1968,,,=,1.0,,CL,6.8,,,=,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:27:25,2026-04-14 09:17:07,,,,,nivolumab
137,FDA,OPDUALAG,nivolumab and relatlimab-rmbw,nivolumab; relatlimab,Bristol-Myers Squibb Company,IV,concentrate,0.0,12.0,,,,1.0,100.0,,,=,0.0,,,,,1.0,,CL,6.6,,,=,1.0,,Vss,0.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:28:20,2026-04-14 09:17:07,,,12 mg/mL nivolumab,,nivolumab and relatlimab
138,FDA,ANTHIM,obiltoxaximab,obiltoxaximab,"Elusys Therapeutics, Inc.",IV,solution,0.0,100.0,,,=,1.0,100.0,,,=,0.0,,,,,1.0,,CL,,,,,1.0,,Vss,0.0,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026-04-13 17:29:26,2026-04-14 09:17:07,,,,,obiltoxaximab
139,FDA,GAZYVA,obinutuzumab,obinutuzumab,"Genentech, Inc.",IV,concentrate,2.0,25.0,,,=,1.0,,,,,0.0,0.095,0.08,0.11,range,1.0,,CL,4.2,4.1,4.3,range,1.0,,Vss,1.0,"target-mediated drug disposition, TMDD, non- linear clearance",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-04-13 17:29:59,2026-04-14 09:17:07,,,,,obinutuzumab
140,FDA,OCREVUS ZUNOVO,ocrelizumab and hyaluronidase-ocsq,ocrelizumab,"Genentech, Inc.",SC,solution,0.0,40.0,,,=,1.0,81.0,,,=,1.0,0.17,,,=,1.0,,CL,2.78,,,=,1.0,,Vc,1.0,time-dependent clearance,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2026-04-13 17:32:09,2026-04-14 09:17:07,,,,,ocrelizumab
